pl_name,pl_rade,pl_insol,st_teff,st_mass,st_rad,habitability_score,predicted_habitability_score
Kepler-452 b,1.63,1.1,5757.0,1.037,1.11,0.7,0.63
TRAPPIST-1 e,0.92,0.646,2566.0,0.0898,0.1192,0.79,0.82
TRAPPIST-1 f,1.045,0.373,2566.0,0.0898,0.1192,0.67,0.73
Kepler-235 e,2.22,1.33,4255.0,0.581,0.554,0.35,0.29
Kepler-440 b,1.86,1.2,4134.0,0.575,0.559,0.56,0.53
Kepler-186 f,1.17,0.3,3755.0,0.544,0.523,0.58,0.63
Kepler-1455 b,2.16,1.533,4075.0,0.62,0.6,0.27,0.27
Kepler-705 b,2.11,0.729,3722.0,0.53,0.51,0.42,0.39
Kepler-62 e,1.61,1.352,4925.0,0.69,0.64,0.58,0.53
K2-18 b,2.37,1.005,3457.0,0.359,0.411,0.45,0.31
Kepler-1389 b,1.77,1.871,5078.0,0.81,0.74,0.26,0.28
Kepler-1701 b,2.22186207,1.3,5146.0,0.87,0.840217,0.36,0.39
K2-155 d,1.9,1.67,4258.0,0.65,0.58,0.31,0.35
TOI-1452 b,1.672,1.8,3185.0,0.249,0.275,0.33,0.35
Kepler-1540 b,2.49,0.849,4540.0,0.74,0.69,0.33,0.36
Kepler-1410 b,1.78,1.06,4092.0,0.63,0.6,0.66,0.61
GJ 1002 b,1.03,0.67,3024.0,0.12,0.137,0.82,0.81
TOI-904 c,2.167,0.5449,3770.2,0.557,0.527,0.31,0.31
LHS 1140 b,1.73,0.43,3096.0,0.1844,0.2159,0.42,0.51
GJ 357 d,2.34,0.38,3505.0,0.342,0.337,0.15,0.2
Kepler-22 b,2.1,1.013,5596.0,0.857,0.869,0.55,0.53
Kepler-61 b,2.15,1.69,4017.0,0.635,0.62,0.2,0.2
Kepler-442 b,1.34,0.66,4402.0,0.609,0.598,0.69,0.67
TOI-2095 c,1.33,1.84,3759.0,0.44,0.44,0.45,0.49
TOI-6002 b,1.65,1.6823,3229.0,0.2101,0.2432,0.4,0.42
TOI-700 e,0.953,1.27,3459.0,0.415,0.421,0.85,0.85
Kepler-283 c,1.82,0.949,4351.0,0.596,0.566,0.65,0.56
Kepler-174 d,2.19,0.53,4880.0,0.602,0.622,0.29,0.3
K2-9 b,2.25,1.36,3390.0,0.3,0.31,0.32,0.29
Kepler-296 e,1.53,1.41,3740.0,0.498,0.48,0.58,0.58
Kepler-296 f,1.8,0.62,3740.0,0.498,0.48,0.49,0.51
Kepler-443 b,2.33,0.86,4723.0,0.738,0.706,0.4,0.41
Kepler-438 b,1.12,1.4,3748.0,0.544,0.52,0.75,0.76
Kepler-439 b,2.24,1.83,5431.0,0.884,0.866,0.09,0.09
Kepler-1229 b,1.4,0.524,3784.0,0.54,0.51,0.6,0.62
Kepler-1552 b,2.47,1.854,5202.0,0.85,0.78,0.0,0.07
Kepler-1606 b,2.07,1.29,5422.0,0.9,0.86,0.43,0.44
Kepler-1544 b,1.78,0.833,4886.0,0.81,0.74,0.6,0.63
Kepler-1090 b,2.25,1.825,5321.0,0.86,0.82,0.09,0.09
K2-125 b,2.18,2.0,3654.47,0.494727,0.402049,0.03,0.05
GJ 273 b,1.51,1.06,3382.0,0.29,0.293,0.77,0.71
K2-72 e,1.29,1.2,3360.47,0.271365,0.330989,0.78,0.76
Kepler-1652 b,1.6,0.81,3638.0,0.404,0.382,0.66,0.58
Wolf 1061 c,1.66,1.3,3342.0,0.294,0.307,0.59,0.58
Ross 128 b,1.11,1.38,3192.0,0.168,0.1967,0.77,0.76
K2-133 e,1.73,1.8,3655.0,0.461,0.455,0.31,0.32
Kepler-1649 c,1.06,0.75,3240.0,0.1977,0.2317,0.85,0.82
Kepler-1052 c,2.3,1.96,5818.0,0.937,0.848,0.0,0.02
GJ 1061 c,1.18,1.4,2953.0,0.12,0.156,0.73,0.74
GJ 1061 d,1.16,0.6,2953.0,0.12,0.156,0.74,0.76
TOI-2257 b,2.194,0.6703,3430.0,0.328,0.313,0.36,0.33
Kepler-1816 b,1.9679397,2.0,5051.0,0.786,0.706,0.11,0.13
GJ 3929 c,2.26,1.68,3384.0,0.313,0.32,0.16,0.15
LP 890-9 c,1.367,0.906,2850.0,0.118,0.1556,0.81,0.77
TOI-700 d,1.073,0.85,3459.0,0.415,0.421,0.9,0.85
Proxima Cen b,1.03,0.65,2900.0,0.1221,0.141,0.81,0.81
Wolf 1069 b,1.08,0.652,3158.0,0.167,0.1813,0.79,0.79
TOI-715 b,1.55,0.67,3075.0,0.225,0.24,0.62,0.63
HN Lib b,2.2,0.503,3347.0,0.291,0.299,0.27,0.28
K2-3 d,1.458,1.44,3844.0,0.549,0.546,0.6,0.61
Teegarden's Star b,1.05,1.08,3034.0,0.097,0.12,0.94,0.88
Teegarden's Star c,1.02,0.35,3034.0,0.097,0.12,0.67,0.73
Gliese 12 b,0.958,1.62,3296.0,0.2414,0.2617,0.67,0.7
TOI-4336 A b,2.12,1.5,3298.0,0.331,0.328,0.3,0.32
G 261-6 b,1.1,1.8,2907.0,0.118,0.153162,0.56,0.61
TOI-1266 d,1.74,1.3,3563.0,0.437,0.4232,0.55,0.54
GJ 3998 d,2.34,1.2,3726.0,0.52,0.5,0.36,0.33
TOI-712 d,2.474,1.6,4622.0,0.732,0.674,0.11,0.15
TOI-178 f,2.287,0.6071,4316.0,0.65,0.651,0.29,0.32
Kepler-155 c,2.24,1.28,4508.0,0.635,0.62,0.36,0.32
Kepler-26 e,2.41,1.753,4486.0,0.593,0.571,0.06,0.06
Kepler-298 d,2.5,1.715,4465.0,0.66,0.582,0.04,0.08
Kepler-62 f,1.41,0.5,4925.0,0.69,0.64,0.59,0.6
Kepler-1653 b,2.17,0.98,4807.0,0.719,0.693,0.52,0.46
Kepler-1512 b,1.18,1.6,4372.0,0.73,0.67,0.63,0.65
